Weighted F1: 0.2257
Average Location Accuracy: 0.0362
Average Location-Category Joint Accuracy: 0.0000

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4413          0.0514 20        
security                              nan             nan 20        
instruction_adherence              0.0033          0.9890 20        
plan_optimization                  0.4042          0.0771 20        
overall                            0.3010          0.1973 20        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            1.0000     0.1538     0.2667     13        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.4000     0.5455     0.4615     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.1111     1.0000     0.2000     1         
Incorrect Problem Identification         0.3333     0.1111     0.1667     9         
Formatting Errors                        0.8750     0.2059     0.3333     34        
Instruction Non-compliance               0.5714     0.1250     0.2051     32        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.7500     0.1000     0.1765     30        
Resource Abuse                           0.3333     0.1250     0.1818     16        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     5         
