Weighted F1: 0.2503
Average Location Accuracy: 0.0260
Average Location-Category Joint Accuracy: 0.0042

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.4503          0.0463 20        
security                              nan             nan 20        
instruction_adherence              0.1769          0.4557 20        
plan_optimization                  0.1990          0.4003 20        
overall                            0.3009          0.1974 20        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.6667     0.1429     0.2353     14        
Tool-related                             0.5000     0.2500     0.3333     4         
Poor Information Retrieval               0.2000     0.1818     0.1905     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.3333     0.1111     0.1667     9         
Formatting Errors                        0.7778     0.1944     0.3111     36        
Instruction Non-compliance               0.8750     0.2059     0.3333     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.5714     0.1250     0.2051     32        
Resource Abuse                           0.4444     0.2353     0.3077     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
