Weighted F1: 0.1957
Average Location Accuracy: 0.1220
Average Location-Category Joint Accuracy: 0.0408

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.6729          0.0000 88        
security                              nan             nan 88        
instruction_adherence              0.2397          0.0254 87        
plan_optimization                  0.5012          0.0000 87        
overall                            0.5919          0.0000 87        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.4444     0.4762     0.4598     42        
Tool-related                             0.4000     0.1081     0.1702     37        
Poor Information Retrieval               0.0000     0.0000     0.0000     22        
Tool Output Misinterpretation            0.0000     0.0000     0.0000     17        
Incorrect Problem Identification         0.0000     0.0000     0.0000     20        
Tool Selection Errors                    0.3548     0.2750     0.3099     40        
Formatting Errors                        0.4000     0.0385     0.0702     52        
Instruction Non-compliance               0.3846     0.0909     0.1471     55        
Tool Definition Issues                   0.0000     0.0000     0.0000     3         
Environment Setup Errors                 0.4000     0.2222     0.2857     9         
Authentication Errors                    0.0000     0.0000     0.0000     6         
Service Errors                           0.0000     0.0000     0.0000     2         
Resource Not Found                       0.0000     0.0000     0.0000     4         
Resource Exhaustion                      0.0000     0.0000     0.0000     2         
Timeout Issues                           1.0000     0.5000     0.6667     2         
Context Handling Failures                0.0000     0.0000     0.0000     27        
Resource Abuse                           0.4000     0.1333     0.2000     30        
Goal Deviation                           0.8276     0.3582     0.5000     67        
Task Orchestration                       0.0000     0.0000     0.0000     39        
