Weighted F1: 0.3326
Average Location Accuracy: 0.3494
Average Location-Category Joint Accuracy: 0.0216

Score Correlations (Pearson r):
--------------------------------------------------------------------------------
Score Type                Correlation     p-value         N         
--------------------------------------------------------------------------------
reliability                        0.2231          0.2447 29        
security                              nan             nan 29        
instruction_adherence              0.3940          0.0344 29        
plan_optimization                  0.1694          0.3795 29        
overall                            0.2404          0.2091 29        

Per-Category Statistics:
--------------------------------------------------------------------------------
Category                                 Precision  Recall     F1         Support   
--------------------------------------------------------------------------------
Language-only                            0.0000     0.0000     0.0000     14        
Tool-related                             0.0000     0.0000     0.0000     4         
Poor Information Retrieval               0.7000     0.6364     0.6667     11        
Incorrect Memory Usage                   0.0000     0.0000     0.0000     2         
Tool Output Misinterpretation            0.0000     0.0000     0.0000     1         
Incorrect Problem Identification         0.1875     0.3333     0.2400     9         
Formatting Errors                        0.8824     0.4167     0.5660     36        
Instruction Non-compliance               0.8235     0.4118     0.5490     34        
Resource Exhaustion                      0.0000     0.0000     0.0000     1         
Context Handling Failures                0.6250     0.1562     0.2500     32        
Resource Abuse                           0.0000     0.0000     0.0000     17        
Goal Deviation                           0.0000     0.0000     0.0000     3         
Task Orchestration                       0.0000     0.0000     0.0000     6         
